x1,x2,corr
0,32,-0.0007819963097987412
1,33,3.386033130111197e-05
2,34,3.340114336628658e-05
3,35,1.867861204527076e-05
4,36,1.802913487860321e-05
5,37,0.0001029728788121258
6,38,0.0001034615007221046
7,39,0.003448827387294904
8,40,0.003446900922653601
9,41,-0.000387541653585542
10,42,-0.0003852549952706215
11,43,-0.0001841000518630849
12,44,-0.0001823311573621285
13,45,-2.386882672586754e-05
14,46,-2.398869078288197e-05
15,47,-0.0001209538992649232
16,48,-0.0001216020664646613
17,49,-0.004277362831941467
18,50,-0.004275047940803835
19,51,0.0001873497295566495
20,52,0.0001863527137180888
21,53,0.0001687433036298259
22,54,0.0001679820264718398
23,55,0.0003608835052821129
24,56,0.0003625809315774734
25,57,0.003759101140958591
26,58,0.003790389670817747
27,59,0.0002673236576979937
28,60,0.0002670755178008441
29,61,-0.001611548676664414
30,62,-0.001610653103266007
31,63,-0.0007879920747709369
