Jdis,O^z,error,N
0.7,-0.016126843454214657,0.00019658256432785362,1000.0
0.75,-0.016518324737406675,0.00020916193633434613,1000.0
0.8,-0.016207705652212866,0.00021314365487302728,1000.0
0.85,-0.01671283197897261,0.00022027498917036843,1000.0
0.9,-0.0166141812466298,0.00022549052616218238,1000.0
0.95,-0.016613307537525,0.00023766900082424855,1000.0
1.0,-0.016019407102400258,0.00023095773411840027,1000.0
1.1,-0.015460548077564447,0.00022904131808655642,1000.0
1.2,-0.015095842693889807,0.00023283063457330417,1000.0
1.3,-0.014345208072275026,0.00024297688432261096,1000.0
1.4,-0.014526002061714175,0.00024634983025393286,1000.0
1.5,-0.013393866146512492,0.000252685489978087,1000.0
