Dimerization,O^z,error,N
0.05,-0.0385646362692981,0.00022456080053453344,3999.0
0.1,-0.03818176566734045,0.00022412345477105313,4000.0
0.15,-0.03762059195272079,0.00022125494377265117,4000.0
0.2,-0.03581368640607153,0.0002204357793258569,4000.0
0.25,-0.033870690594880376,0.00021500466031811662,4000.0
0.3,-0.031466624616877284,0.00021075474770337175,4000.0
0.35,-0.02957065690227387,0.0002040076365503903,4000.0
0.4,-0.027542284801351277,0.00019623394685940542,4000.0
0.45,-0.024371384811827813,0.00018827469964331702,4000.0
0.5,-0.02019990732859035,0.0001763455032052027,4000.0
