Jdis,ZL,error,N
0.7,-0.09392043587708598,0.0033218768259339502,1000.0
0.75,-0.08792428166046799,0.0033433276572173956,1000.0
0.8,-0.08117085322760685,0.003396016943842195,1000.0
0.85,-0.07684688296276365,0.0034308266181084647,1000.0
0.9,-0.07114710215154778,0.0035253542700871736,1000.0
0.95,-0.06641082233508784,0.0035836762492401095,1000.0
1.0,-0.06085574134283349,0.0035898133442834974,1000.0
1.1,-0.054320727684352234,0.0036500915550017696,1000.0
1.2,-0.044282451749681095,0.0036498235210270093,1000.0
1.3,-0.03741526270745599,0.003741392712357905,1000.0
1.4,-0.03186853473435142,0.0037758750829941542,1000.0
1.5,-0.024313731787269848,0.0037251185631345983,1000.0
