x2-x1,corr
1,0.05719868086389786
2,0.05634518776020955
3,0.004966805456307753
4,0.0049907495447462855
5,0.00022819340260283298
6,0.0002304918494441369
7,-0.0002007251099617398
8,-0.00020043014739555228
9,-0.00011686668495920566
10,-0.0001054033075534573
11,-6.717890974379839e-05
12,-3.581330178481207e-05
13,-2.8437073280965947e-05
14,-2.228023631026393e-05
15,-1.6306397964727845e-05
16,-1.0748936046086095e-05
17,-3.3474705353099205e-06
18,4.2457500456217e-06
19,1.4649803240257436e-06
20,-1.9141216773918266e-06
21,-3.8045029371055e-07
22,1.4425259225192583e-06
23,2.6159034920938413e-06
24,3.5394675348716845e-06
25,1.9938259078719632e-07
26,-3.057972171556304e-06
27,-2.790615126430092e-06
28,-2.634992865577393e-06
29,-5.150428069805959e-07
30,1.7963692972960602e-06
31,9.531752177148922e-07
32,-2.6438769830227812e-08
