Dimerization,O^z,error,N
0.0,-0.16046634070905913,0.0,1000.0
0.05,-0.1599895320381838,0.0,1000.0
0.1,-0.16487316718507253,0.0,1000.0
0.15,-0.170438647096041,0.0,1000.0
0.2,-0.176506358420738,0.0,1000.0
0.25,-0.17881058303976374,0.0,1000.0
0.3,-0.17922024157110752,0.0,1000.0
0.35,-0.1724766748074449,0.0,1000.0
0.4,-0.1584063049771987,0.0,1000.0
0.45,-0.13372879059329673,0.0,1000.0
0.5,-0.1023846331131259,0.0,1000.0
0.55,-0.06790272497502137,0.0,1000.0
0.6,-0.037285095884040824,0.0,1000.0
0.65,-0.016518324737406675,0.0,1000.0
0.7,-0.005537276675106593,0.0,1000.0
