Jdis,ZL,error,N
0.5,0.23583985770040003,0.0007728742520109197,5000.0
1.0,0.153840300708578,0.0012633120622260706,5000.0
1.5,0.09246502019534765,0.0013890766190974083,5000.0
2.0,0.0556034970070236,0.0013242995883697383,5000.0
2.5,0.0339585427440287,0.001199793569590204,5000.0
3.0,0.022498956183364182,0.0011077522498174075,5000.0
3.5,0.013773705211074443,0.0010210843655926543,4998.0
4.0,0.010174023512139939,0.0009715527716356667,4995.0
4.5,0.00707464649662746,0.000925640376381862,4983.0
5.0,0.004748216045575848,0.00090930449460168,4972.0
5.5,0.0031832064238973196,0.0009013146064829079,4942.0
6.0,0.0031290673351009215,0.0009117015783187536,4907.0
