Dimerization,ZL
0.0,0.3670829853289571
0.05,0.3471435340961424
0.1,0.3036884107407833
0.15,0.2152173418306915
0.2,0.1241641736076678
0.25,0.03583513021864152
0.3,-0.06596201017213939
0.35,-0.1536843042715613
0.4,-0.2089702104826851
0.45,-0.2788571889953652
0.5,-0.3074582769572017
0.55,-0.2831709446918313
0.6,-0.1621761123479323
0.65,0.0015454818204553948
0.7,0.1327874376162196
0.75,0.2419428389420837
0.8,0.3263316159690463
0.85,0.3956598003950886
0.9,0.452516247212132
0.95,0.4988876865341583
1.0,0.5368248812464163
