x2-x1,corr
1,0.4264087092525035
2,0.3719385428382405
3,0.14220972201044219
4,0.14647289339445946
5,0.0580179646065135
6,0.06157938907105748
7,0.02498808960978381
8,0.026732701449264
9,0.008148725275824742
10,0.008979341168024077
11,0.006384516536086983
12,0.003127432939725133
13,0.00227741204941937
14,0.0011342818533718955
15,0.0007406839016432239
16,0.00020056467385313058
17,-7.323410035502804e-05
18,-0.00040824730922272586
19,-0.0004396276485772645
20,-0.0004941238491711904
21,-0.00038630276523739384
22,-0.00036746919311580854
23,-0.0003128096961334189
24,-0.00030934001494803046
25,-0.00020028392605342892
26,-7.580967015619949e-05
27,2.225631593079375e-05
28,0.00011918371202048462
29,0.0001508375591390678
30,0.000192645814263661
31,0.0001808364196627963
32,0.00016121599442252656
