Dimerization,O^z
0.1,0.32989408297583006
0.12,0.32329448489714235
0.14,0.31549000986170295
0.16,0.30509393855198924
0.18,0.2924613091593182
0.2,0.27573380472140835
0.22,0.2513447420780771
0.24,0.21013315552913048
0.26,0.11774079812751288
0.28,0.029044149246270336
0.3,0.005102378550469501
0.32,0.0002808763954251238
0.34,4.965690352503569e-05
0.36,2.108713570148861e-05
0.38,-1.6738805312507873e-05
0.4,-5.0572813895405176e-05
0.42,4.144342102751655e-05
0.44,4.877354617102827e-06
0.46,4.0273083642467685e-06
0.48,-6.960652007363841e-06
0.5,1.7482657043627476e-05
0.52,1.3048363849281678e-05
0.54,1.5471136247167785e-05
0.56,6.6856410636607395e-06
0.58,8.29062982262301e-06
0.6,5.683123010790489e-06
