Dimerization,O^z,error
0.1,0.25017374116852453,0.0003663802603235219
0.12,0.23372836384258477,0.00039794045532732565
0.14,0.21529746482175036,0.0004233581076265529
0.16,0.1917062315031276,0.00043867602093409857
0.18,0.1641095443193103,0.00045190333146181733
0.2,0.13079961112745786,0.0004462147771728509
0.22,0.09693777429754197,0.0004178102105271913
0.24,0.06538954648100512,0.00036499119849885305
0.26,0.039487552378451744,0.000289778267957104
0.28,0.022528759161076495,0.00021844165353211963
0.3,0.01180246098880259,0.00015673265491334684
0.32,0.00489370776553024,9.260512289129765e-05
0.34,0.001956793252859465,5.7082327436970394e-05
0.36,0.0008979058959629022,3.830159638288821e-05
0.38,0.0002843074603071027,1.6095575746481524e-05
0.4,6.78239650963683e-05,3.347533420681068e-06
0.42,1.3421860793547021e-05,1.3613759991604751e-06
0.44,4.351567003879702e-05,7.2106613783028724e-06
0.46,6.566889252699744e-08,4.047306624549623e-07
0.48,2.9369976993598046e-07,2.5695057920110713e-07
0.5,-7.592789369372524e-06,2.2543239568760348e-06
0.52,4.665885332795361e-08,2.109006449575858e-07
0.54,2.7117816827377116e-07,2.574365569194551e-07
0.56,-7.839794945613656e-07,3.207141557986743e-07
0.58,1.3107428597224101e-07,3.5710257751893915e-07
0.6,-7.293805405780092e-07,3.5558243503477155e-07
