Jdis,O^z,error,N
0.1,0.022590923451498105,0.00016571994458532238,1000.0
0.2,0.03409379718141372,0.00025043221935059376,1000.0
0.3,0.039146225431304346,0.00032226621826028564,1000.0
0.4,0.038914242478965744,0.0003417479691217159,1000.0
0.5,0.03823261536216319,0.0003614476214488189,1000.0
0.6,0.03563058180133797,0.00035874076458517986,1000.0
0.7,0.032292988152266396,0.00034621864468263076,1000.0
0.8,0.028564074519415852,0.00033229767671970486,1000.0
0.9,0.025184828144666126,0.00030988458838696043,1000.0
1.0,0.0227904324489245,0.0002964802725909608,1000.0
1.1,0.01992072455810125,0.00027865079526234726,1000.0
1.2,0.017218010185260445,0.00024841158223995127,1000.0
1.5,0.01161083846869805,0.0002070263478520056,1000.0
1.8,0.00826793074959476,0.0001810855566595681,1000.0
