Dimerization,ZL,error
0.0,-0.8715924963696041,0.0
0.02,-0.8666906515233757,0.0
0.04,-0.8598502158005563,0.0
0.06,-0.8511900757481529,0.0
0.08,-0.8393141208904776,0.0
0.1,-0.8322251759880779,0.0
0.12,-0.8219647726562225,0.0
0.14,-0.7942935023118871,0.0
0.16,-0.7646444875166859,0.0
0.18,-0.7155673375883802,0.0
0.2,-0.6619859105772061,0.0
0.22,-0.6844288723895307,0.0
0.24,-0.5388243307887856,0.0
0.26,-0.2207069193236421,0.0
0.28,0.276969286633677,0.0
0.3,0.5126548402204281,0.0
0.32,0.6203392785996715,0.0
0.34,0.6590211544659631,0.0
0.36,0.6889049541340693,0.0
0.38,0.7178165015827679,0.0
0.4,0.7380321084474505,0.0
0.42,0.7582009857846178,0.0
0.44,0.7733016053996127,0.0
0.46,0.787406787505395,0.0
0.48,0.7990008158877722,0.0
0.5,0.8103667542874098,0.0
0.52,0.8186694680677824,0.0
0.54,0.827166415990057,0.0
0.56,0.8328093837986098,0.0
0.58,0.8405952929607782,0.0
0.6,0.8464789836219836,0.0
0.62,0.848429390175232,0.0
0.64,0.8536446444418359,0.0
0.66,0.8506088565301427,0.0
0.68,0.8658166962101442,0.0
0.7,0.8697128801357439,0.0
0.72,0.8731513481559969,0.0
0.74,0.8763356118127866,0.0
0.76,0.8792886947828309,0.0
0.78,0.8820307444315387,0.0
0.8,0.8846853918990473,0.0
0.82,0.8869507157980168,0.0
0.84,0.8892857022791952,0.0
0.86,0.8913165869812055,0.0
0.88,0.8931324737738489,0.0
0.9,0.8949205312736619,0.0
0.92,0.8966599358017905,0.0
0.94,0.8981425271602766,0.0
0.96,0.8996685395949517,0.0
0.98,0.9009927764546154,0.0
1.0,0.9022252483954222,0.0
