Jdis,O^z,error,N
0.7,-0.2607848607347252,0.0007182896962945198,1000.0
0.75,-0.25555088622558,0.0007438510053047491,1000.0
0.8,-0.25000784712753554,0.0007743035728862935,1000.0
0.85,-0.24514763317638497,0.00078609447242481,1000.0
0.9,-0.23745029899205017,0.0008236626822524802,1000.0
0.95,-0.2307793934483907,0.0008437092918094796,1000.0
1.0,-0.22352399294765654,0.0008699808701544412,1000.0
1.1,-0.20904084290126798,0.000920100439905231,1000.0
1.2,-0.19605325849211477,0.000935948079461735,1000.0
1.3,-0.18403267329749196,0.0009726552301660197,1000.0
1.4,-0.17128002524673536,0.0009911802259059204,1000.0
1.5,-0.15974557828338867,0.001002326474048718,1000.0
