Dimerization,O^z,error,N
0.0,-0.1914482084650395,0.0,1000.0
0.05,-0.19354395599867344,0.0,1000.0
0.1,-0.19679940495044998,0.0,1000.0
0.15,-0.2005945933939044,0.0,1000.0
0.2,-0.20479533013444295,0.0,1000.0
0.25,-0.20783719814176996,0.0,1000.0
0.3,-0.20813630548846349,0.0,1000.0
0.35,-0.20091197755297222,0.0,1000.0
0.4,-0.1884707944554644,0.0,1000.0
0.45,-0.16615453787113665,0.0,1000.0
0.5,-0.13423508309125434,0.0,1000.0
0.55,-0.09924959056368199,0.0,1000.0
0.6,-0.06236065391920519,0.0,1000.0
0.65,-0.032999173993333124,0.0,1000.0
0.7,-0.013250070443825902,0.0,1000.0
