Dimerization,ZL
0.0,0.3909961239059364
0.05,0.3653005126832902
0.1,0.3296229654621878
0.15,0.2583584419210648
0.2,0.1856022374189591
0.25,0.049232980308634315
0.3,-0.035813215613592964
0.35,-0.1207692868904497
0.4,-0.2010668915417434
0.45,-0.2535517392599722
0.5,-0.2746838484398869
0.55,-0.2765008327962878
0.6,-0.169405623481992
0.65,-0.01174933643973197
0.7,0.1354178525011549
0.75,0.2412092984622015
0.8,0.3287230804739719
0.85,0.3964374685218592
0.9,0.4526563201290422
0.95,0.4989046085225911
1.0,0.5368248812464492
