Dimerization,O^z,error,N
0.0,-0.15274593704701772,0.0,1000.0
0.05,-0.15333302955814365,0.0,1000.0
0.1,-0.15389897467958477,0.0,1000.0
0.15,-0.15723081805329006,0.0,1000.0
0.2,-0.15970406393221173,0.0,1000.0
0.25,-0.16066400683035664,0.0,1000.0
0.3,-0.1570566943090273,0.0,1000.0
0.35,-0.14923766633471564,0.0,1000.0
0.4,-0.1364177428860622,0.0,1000.0
0.45,-0.11349647072677624,0.0,1000.0
0.5,-0.08726412887776436,0.0,1000.0
0.55,-0.060932724464026214,0.0,1000.0
0.6,-0.03481846051144232,0.0,1000.0
0.65,-0.01671283197897261,0.0,1000.0
0.7,-0.006277838276912148,0.0,1000.0
