Dimerization,ZL,error,N
0.0,0.0087782330644535,0.0032967858276475295,500.0
0.05,0.007471823431042744,0.003167109507355867,500.0
0.1,0.007891238370385533,0.0033621815591589397,500.0
0.15,0.0060590842874696065,0.003572567963211312,500.0
0.2,0.004713873836023076,0.003386804680581064,500.0
0.25,0.0026442536153724197,0.0035858511430076215,500.0
0.3,0.0028940266215144467,0.0040937263482569855,500.0
0.35,0.009248743840085815,0.004242074270585408,500.0
0.4,0.01025010706755038,0.004914091672476111,500.0
0.45,0.014446846282095591,0.004782590997255391,500.0
0.5,0.023440346209981228,0.0056441274833199055,500.0
