J,J2
0.699803,0.750741
1.05854,1.44516
0.605906,0.743725
1.18254,1.46319
0.695351,0.750407
1.15754,1.45954
0.645331,0.746663
1.22104,1.46883
0.647305,0.74681
1.29186,1.47927
0.676998,0.749031
1.02494,1.44031
0.689923,0.75
1.27594,1.47692
0.527669,0.737929
1.23383,1.47071
0.640568,0.746307
1.14849,1.45822
0.683112,0.749489
0.927491,1.42634
0.671575,0.748625
1.1992,1.46563
0.539072,0.738771
1.0286,1.44084
0.566019,0.740764
1.01432,1.43878
0.693463,0.750265
1.23201,1.47044
0.666669,0.748258
1.13659,1.45648
0.657366,0.747562
1.21125,1.4674
0.681541,0.749371
1.06794,1.44652
0.492631,0.735348
1.22249,1.46905
0.692056,0.75016
1.22196,1.46897
0.632237,0.745686
1.24284,1.47204
0.674522,0.748845
1.17175,1.46161
0.631405,0.745624
1.28368,1.47806
0.652876,0.747226
1.26922,1.47593
0.631188,0.745607
1.18005,1.46282
0.682083,0.749412
1.26691,1.47559
0.662733,0.747963
1.25606,1.47399
0.681461,0.749365
1.14004,1.45698
0.659536,0.747724
1.20609,1.46664
0.593497,0.742802
1.1225,1.45443
0.598443,0.74317
1.21744,1.4683
0.638119,0.746124
1.2153,1.46799
0.618223,0.744641
1.29573,1.47985
0.605271,0.743677
1.22895,1.47
0.63338,0.745771
1.14854,1.45822
0.666562,0.74825
1.26345,1.47508
0.643104,0.746496
1.07773,1.44793
0.693916,0.750299
1.23858,1.47141
0.67093,0.748576
1.15035,1.45849
0.615142,0.744412
1.07688,1.44781
0.695587,0.750424
0.96351,1.43149
0.620324,0.744798
1.29761,1.48012
0.680992,0.74933
0.941465,1.42834
0.681281,0.749352
1.22045,1.46875
0.577488,0.741614
1.11511,1.45336
0.648002,0.746862
1.26551,1.47538
0.539725,0.738819
1.0838,1.44881
0.553364,0.739827
1.29074,1.47911
0.687872,0.749846
1.16163,1.46013
0.656034,0.747462
1.08592,1.44912
0.642868,0.746479
1.2642,1.47519
0.694579,0.750349
0.802171,1.40858
0.619453,0.744733
0.89567,1.42181
0.685263,0.74965
1.23714,1.4712
0.631058,0.745598
1.25322,1.47357
0.647636,0.746835
1.16504,1.46063
0.558957,0.740241
1.28431,1.47816
0.616655,0.744525
1.28584,1.47838
0.481847,0.734555
1.19478,1.46498
0.662553,0.74795
1.29335,1.47949
0.696626,0.750502
1.13113,1.45569
0.605696,0.743709
1.22319,1.46915
0.663893,0.74805
0.859032,1.41661
0.638617,0.746161
1.28166,1.47776
0.610522,0.744068
1.08079,1.44838
0.641433,0.746372
1.25443,1.47375
0.540062,0.738844
1.26962,1.47599
0.40923,0.72924
1.20479,1.46645
0.606958,0.743803
1.22041,1.46874
0.660739,0.747814
1.19228,1.46462
0.614975,0.744399
1.11727,1.45367
0.695302,0.750403
1.21714,1.46826
0.620349,0.7448
1.28052,1.4776
0.546123,0.739292
1.19857,1.46554
0.534228,0.738413
1.24254,1.47199
0.676019,0.748958
0.952136,1.42986
0.689929,0.75
1.24715,1.47267
0.655977,0.747458
1.20678,1.46674
0.687801,0.74984
1.22238,1.46903
0.601284,0.743381
1.20807,1.46693
0.436615,0.73124
1.24955,1.47303
0.5819,0.741941
1.15972,1.45985
0.683725,0.749535
1.10686,1.45216
0.581394,0.741904
1.29844,1.48025
0.517003,0.737142
1.25717,1.47415
0.637574,0.746084
1.17115,1.46152
0.667821,0.748344
1.24034,1.47167
0.515942,0.737064
1.26468,1.47526
0.67589,0.748948
1.29599,1.47988
0.623386,0.745026
1.2494,1.473
0.654758,0.747367
0.954768,1.43024
0.697728,0.750585
1.22545,1.46948
0.697586,0.750575
1.29906,1.48034
0.685326,0.749655
1.28455,1.47819
0.662577,0.747951
1.15786,1.45958
0.685,0.74963
1.20989,1.4672
0.660037,0.747762
1.20969,1.46717
0.603103,0.743516
1.28936,1.4789
0.691097,0.750088
1.25886,1.4744
0.651673,0.747136
1.02022,1.43963
0.653513,0.747274
1.28689,1.47854
0.679065,0.749186
1.22769,1.46981
0.634107,0.745825
1.21432,1.46785
0.647273,0.746808
1.27383,1.47661
0.63674,0.746021
1.26071,1.47467
0.615757,0.744458
1.24639,1.47256
0.678809,0.749166
1.25082,1.47321
0.662145,0.747919
1.29453,1.47967
0.636626,0.746013
1.29766,1.48013
0.672614,0.748703
1.29888,1.48031
0.699605,0.750726
0.935972,1.42755
0.674317,0.74883
1.03887,1.44232
0.68249,0.749442
1.21549,1.46802
0.542231,0.739004
1.2772,1.4771
0.659982,0.747757
1.26234,1.47491
0.699984,0.750755
1.24308,1.47207
0.691841,0.750143
1.27871,1.47733
0.663524,0.748022
1.29891,1.48032
0.653337,0.747261
1.05532,1.44469
0.51317,0.73686
1.27791,1.47721
0.651046,0.747089
1.07093,1.44695
0.69165,0.750129
1.21658,1.46818
0.691136,0.750091
1.16478,1.46059
0.59726,0.743082
1.27735,1.47713
0.583489,0.742059
0.980297,1.43389
0.66224,0.747926
1.24343,1.47213
0.639773,0.746248
1.07618,1.44771
0.557136,0.740106
1.08684,1.44925
0.582939,0.742019
1.20761,1.46686
0.615326,0.744426
1.06698,1.44638
0.589051,0.742472
1.29034,1.47905
0.646657,0.746762
1.15415,1.45904
0.668066,0.748362
1.10307,1.45161
0.691082,0.750086
1.23618,1.47106
0.641188,0.746353
1.08633,1.44918
0.524981,0.73773
1.29743,1.4801
0.598662,0.743186
1.19748,1.46538
0.62461,0.745117
1.15744,1.45952
0.584857,0.742161
1.24238,1.47197
0.610179,0.744043
1.06768,1.44648
0.674474,0.748842
1.17227,1.46169
0.689755,0.749987
1.20043,1.46581
0.675273,0.748902
1.23061,1.47024
0.685209,0.749646
1.1655,1.4607
0.667603,0.748327
1.27334,1.47654
0.642256,0.746433
1.22414,1.46929
0.444966,0.731851
1.13166,1.45576
0.612234,0.744195
1.18019,1.46284
0.688196,0.74987
1.29691,1.48002
0.583903,0.74209
1.22261,1.46906
0.652238,0.747179
1.098,1.45087
0.671516,0.74862
1.08767,1.44937
0.66534,0.748158
1.21717,1.46826
0.649622,0.746983
1.2389,1.47146
0.490038,0.735157
1.17882,1.46265
0.63984,0.746253
1.22065,1.46878
0.626316,0.745244
0.958473,1.43077
0.692912,0.750224
1.27336,1.47654
0.62194,0.744918
0.953224,1.43002
0.54099,0.738912
1.16637,1.46083
0.68007,0.749261
1.01274,1.43855
0.541098,0.73892
1.25816,1.4743
0.662482,0.747944
1.25808,1.47428
0.661569,0.747876
1.28641,1.47847
0.665182,0.748146
1.26945,1.47596
0.674165,0.748819
0.995581,1.43609
0.663356,0.74801
1.13671,1.4565
0.659088,0.747691
1.2738,1.4766
0.698734,0.750661
1.16556,1.46071
0.670396,0.748536
1.2622,1.47489
0.641159,0.746351
1.13673,1.4565
0.687197,0.749795
0.923416,1.42576
0.642348,0.74644
1.25467,1.47378
0.615352,0.744428
1.25532,1.47388
0.677682,0.749082
1.02728,1.44065
0.693428,0.750262
1.10248,1.45152
0.567269,0.740857
1.29334,1.47949
0.648293,0.746884
1.23399,1.47074
0.63032,0.745543
1.15756,1.45954
0.639502,0.746228
1.22468,1.46937
0.648121,0.746871
1.29335,1.47949
0.571342,0.741159
1.28203,1.47782
0.695597,0.750425
1.20857,1.467
0.68564,0.749678
1.01912,1.43947
0.678819,0.749167
1.22832,1.4699
0.689275,0.749951
1.09521,1.45047
0.66034,0.747784
1.1973,1.46535
